"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","absLatitude"
"Hirundichthys affinis","demersal",NA,277.27,"TL",2.5,"",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.62499176068914,0.916290731874155,5.750962
"Hemiramphus brasiliensis","demersal",NA,330,"TL",0.8,"",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.79909265446053,-0.22314355131421,5.750962
"Alosa mediocris","demersal",NA,391.16,"TL",1.49,"Field",NA,"Mouth of Patuxent River, Chesapeake Bay, MD, USA","1956 May","",TRUE,TRUE,38.321696,-76.352532,"mansueti_rj_1962_c3_173.pdf",5.96911668344407,0.398776119957368,38.321696
"Brevoortia patronus","pelagic",NA,200,"TL",1.29,"Field/Lab",2,"Gulf Breeze, Florida, USA","1981 September","",TRUE,FALSE,30.279252,-87.199144,"hettler_wf_1984_f82_85.pdf",5.29831736654804,0.254642218373581,30.279252
"Brevoortia patronus","pelagic",NA,178,"TL",1.2,"Field/Lab",2,"Gulf Breeze, Florida, USA","1982 December","",TRUE,TRUE,30.279252,-87.199144,"hettler_wf_1984_f82_85.pdf",5.18178355029209,0.182321556793955,30.279252
"Nematalosa vlaminghi","pelagic",NA,211,"TL",1.126,"",NA,"Swan-Avon river system, Perth WA, Australia","1977 February and 1980 June","39",FALSE,FALSE,-32.006233,115.702926,"chubb_cf_1984_j25_527.pdf",5.35185813347607,0.118671529717499,32.006233
"Engraulis anchoita","pelagic",NA,120,"TL",1.24,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.78749174278205,0.215111379616945,38.040061
"Engraulis anchoita","pelagic",NA,125,"TL",1.15,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.8283137373023,0.139761942375159,38.040061
"Engraulis anchoita","pelagic",NA,128,"TL",1.22,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.85203026391962,0.198850858745165,38.040061
"Engraulis anchoita","pelagic",NA,129,"TL",1.19,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.85981240436167,0.173953307123438,38.040061
"Engraulis anchoita","pelagic",NA,130,"TL",1.16,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.86753445045558,0.148420005118273,38.040061
"Engraulis anchoita","pelagic",NA,130,"TL",1.19,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.86753445045558,0.173953307123438,38.040061
"Engraulis anchoita","pelagic",NA,131,"TL",1.26,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.87519732320115,0.231111720963387,38.040061
"Engraulis anchoita","pelagic",NA,131,"TL",1.26,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.87519732320115,0.231111720963387,38.040061
"Engraulis anchoita","pelagic",NA,134,"TL",1.27,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.89783979995091,0.2390169004705,38.040061
"Engraulis anchoita","pelagic",NA,137,"TL",1.23,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.91998092582813,0.207014169384326,38.040061
"Engraulis anchoita","pelagic",NA,137,"TL",1.2,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.91998092582813,0.182321556793955,38.040061
"Engraulis anchoita","pelagic",NA,140,"TL",1.25,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.9416424226093,0.22314355131421,38.040061
