"Species","spawningMode","FemaleMass_g","FemaleSize_mm","Fecundity_nOfEggs_per_female","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","lnFecundity","absLatitude"
"Atherina presbyter","demersal",NA,64.4102,1122,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.16527200566188,0.157003748809665,7.02286808608264,50.784368
"Atherina presbyter","demersal",NA,69.8748,935,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.24670506921714,0.157003748809665,6.84054652928869,50.784368
"Atherina presbyter","demersal",NA,70.5015,1461,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.25563398618762,0.157003748809665,7.2868764117507,50.784368
"Atherina presbyter","demersal",NA,71.9957,1504,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.27660639501039,0.157003748809665,7.31588350450979,50.784368
"Atherina presbyter","demersal",NA,74.7715,1462,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.3144367963326,0.157003748809665,7.28756064030972,50.784368
"Atherina presbyter","demersal",NA,75.5988,1274,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.32544041004364,0.157003748809665,7.14991683613211,50.784368
"Atherina presbyter","demersal",NA,76.4055,1726,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.33605468311015,0.157003748809665,7.45356187164337,50.784368
"Atherina presbyter","demersal",NA,80.4716,1860,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.38790432714665,0.157003748809665,7.52833176670725,50.784368
"Atherina presbyter","demersal",NA,89.4676,1894,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.49387654856576,0.157003748809665,7.54644627374602,50.784368
"Atherina presbyter","demersal",NA,92.4425,2410,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.52658682960993,0.157003748809665,7.7873820264847,50.784368
"Atherina presbyter","demersal",NA,95.3307,1950,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.55735189939262,0.157003748809665,7.57558465155779,50.784368
"Atherina presbyter","demersal",NA,96.3433,2370,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.5679178543003,0.157003748809665,7.77064523412918,50.784368
"Atherina presbyter","demersal",NA,100.4759,2847,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.60991789774725,0.157003748809665,7.95402108727804,50.784368
"Atherina presbyter","demersal",NA,99.4329,3156,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.59948304481427,0.157003748809665,8.05706068196577,50.784368
"Atherina presbyter","demersal",NA,99.3215,3479,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.59836206322427,0.157003748809665,8.15450017515194,50.784368
"Atherina presbyter","demersal",NA,99.4439,4061,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.59959366606331,0.157003748809665,8.3091845276863,50.784368
"Atherina presbyter","demersal",NA,106.7612,3793,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.67059456463801,0.157003748809665,8.2409125416889,50.784368
"Atherina presbyter","demersal",NA,105.4801,5379,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.65852230953166,0.157003748809665,8.59025776227324,50.784368
"Atherina presbyter","demersal",NA,106.7163,5473,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.67017391140137,0.157003748809665,8.60758219114392,50.784368
"Atherina presbyter","demersal",NA,106.854,7288,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.67146341672192,0.157003748809665,8.89398443893979,50.784368
"Atherina presbyter","demersal",NA,109.8083,5897,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.69873611820393,0.157003748809665,8.6821990260005,50.784368
"Atherina presbyter","demersal",NA,112.0253,9167,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.71872473864229,0.157003748809665,9.12336535796178,50.784368
"Atherina presbyter","demersal",NA,114.5897,7766,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.74135792240543,0.157003748809665,8.95751051029161,50.784368
"Atherina presbyter","demersal",NA,113.2472,5634,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.72957303999569,0.157003748809665,8.63657494843632,50.784368
"Atherina presbyter","demersal",NA,113.3083,5111,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.73011242219106,0.157003748809665,8.53915035876828,50.784368
"Atherina presbyter","demersal",NA,114.3705,5290,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.73944317855938,0.157003748809665,8.57357352485234,50.784368
"Atherina presbyter","demersal",NA,115.5255,7461,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.74949128481448,0.157003748809665,8.91744473247151,50.784368
"Atherina presbyter","demersal",NA,115.6566,6965,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.75062545579098,0.157003748809665,8.84865288621391,50.784368
"Atherina presbyter","demersal",NA,116.8245,9766,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.76067280867149,0.157003748809665,9.1866622446216,50.784368
"Atherina presbyter","demersal",NA,118.1863,8611,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.77226219300912,0.157003748809665,9.06079573469617,50.784368
"Atherina presbyter","demersal",NA,121.545,10227,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.8002845645808,0.157003748809665,9.23278656080601,50.784368
"Atherina presbyter","demersal",NA,122.8967,10170,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.81134416511304,0.157003748809665,9.22719748904261,50.784368
"Atherina presbyter","demersal",NA,126.7545,11407,"SL",1.17,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.84225214479966,0.157003748809665,9.3419824810279,50.784368
"Hirundichthys affinis","demersal",NA,277.27,10021,"TL",2.5,"",NA,"Mostly off the coast of Natal, RN, Brazil","2010 August - 2011 July","2 females",FALSE,FALSE,-5.750962,-35.088767,"oliveira_mr_2015_h6_107.pdf",5.62499176068914,0.916290731874155,9.21243817005833,5.750962
