"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","Fecundity_nOfEggs_per_female","typeOfWork_Fecundity","timeToFecundityMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnFecundity","absLatitude"
"Atherina presbyter","demersal",NA,64.4102,"SL",1122,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.16527200566188,7.02286808608264,50.784368
"Atherina presbyter","demersal",NA,69.8748,"SL",935,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.24670506921714,6.84054652928869,50.784368
"Atherina presbyter","demersal",NA,70.5015,"SL",1461,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.25563398618762,7.2868764117507,50.784368
"Atherina presbyter","demersal",NA,71.9957,"SL",1504,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.27660639501039,7.31588350450979,50.784368
"Atherina presbyter","demersal",NA,74.7715,"SL",1462,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.3144367963326,7.28756064030972,50.784368
"Atherina presbyter","demersal",NA,75.5988,"SL",1274,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.32544041004364,7.14991683613211,50.784368
"Atherina presbyter","demersal",NA,76.4055,"SL",1726,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.33605468311015,7.45356187164337,50.784368
"Atherina presbyter","demersal",NA,80.4716,"SL",1860,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.38790432714665,7.52833176670725,50.784368
"Atherina presbyter","demersal",NA,89.4676,"SL",1894,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.49387654856576,7.54644627374602,50.784368
"Atherina presbyter","demersal",NA,92.4425,"SL",2410,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.52658682960993,7.7873820264847,50.784368
"Atherina presbyter","demersal",NA,95.3307,"SL",1950,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.55735189939262,7.57558465155779,50.784368
"Atherina presbyter","demersal",NA,96.3433,"SL",2370,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.5679178543003,7.77064523412918,50.784368
"Atherina presbyter","demersal",NA,100.4759,"SL",2847,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.60991789774725,7.95402108727804,50.784368
"Atherina presbyter","demersal",NA,99.4329,"SL",3156,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.59948304481427,8.05706068196577,50.784368
"Atherina presbyter","demersal",NA,99.3215,"SL",3479,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.59836206322427,8.15450017515194,50.784368
"Atherina presbyter","demersal",NA,99.4439,"SL",4061,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.59959366606331,8.3091845276863,50.784368
"Atherina presbyter","demersal",NA,106.7612,"SL",3793,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.67059456463801,8.2409125416889,50.784368
