"score","a","b","doubtful","sex","length_cm","length_type","r2","sd_b","sd_log10_a","n","country","locality","species","family","length_cm_min","length_cm_max"
0.98,0.0603,2.692,NA,"unsexed","14.0- 53.5","FL",0.982,NA,NA,68,"New Caledonia","lagoon","Abalistes stellaris","Balistidae",14,53.5
0.98,0.04717,2.76,NA,"mixed","14.0- 53.5","FL",0.982,NA,NA,111,"New Caledonia","","Abalistes stellaris","Balistidae",14,53.5
0.99,0.0281,2.875,NA,"unsexed","7.0- 50.0","TL",0.988,NA,NA,NA,"Indonesia","Western region","Abalistes stellaris","Balistidae",7,50
0.96,0.0184,2.96,NA,"unsexed","2.8- 14.0","SL",0.956,0.39,0.3354,25,"China","Wujiang River / 2006-2014","Abbottina rivularis","Cyprinidae",2.8,14
0,0.01,3,NA,"unsexed","5.6- 8.5","TL",NA,NA,NA,7,"China","Ili River / 2006","Abbottina rivularis","Cyprinidae",5.6,8.5
0.93,0.0079,3.032,NA,"mixed","3.1- 10.4","TL",0.933,NA,NA,187,"China","Lake Niushan (30°16-22' N ,114°27-38' W), Yangtze River, 2002-2004","Abbottina rivularis","Cyprinidae",3.1,10.4
0.98,0.008,3.097,NA,"unsexed","4.5- 12.7","TL",0.981,0.083,0.1249,110,"China","Guangzhou City / 2012","Abbottina rivularis","Cyprinidae",4.5,12.7
0.99,0.0051,3.25,NA,"unsexed","3.1- 18.9","TL",0.985,0.11,0.0948,94,"China","Tarim River, 2009-10","Abbottina rivularis","Cyprinidae",3.1,18.9
0.96,0.005,3.59,NA,"unsexed","2.9- 7.8","SL",0.962,0.16,0.0862,86,"China","Tian-e-zhou Oxbow, Yangtze River, Mar 2010-May 2011","Abbottina rivularis","Cyprinidae",2.9,7.8
0.5,0.00074,3.13,NA,"unsexed",NA,"FL",NA,NA,NA,NA,"South Africa","","Ablennes hians","Belonidae",NA,NA
0.97,0.00036,3.322,NA,"unsexed",NA,"FL",0.974,NA,NA,NA,"India","Tuticorin, Gulf of Mannar, 1990-93","Ablennes hians","Belonidae",NA,NA
