species,a,a_lower,a_upper,b,b_lower,b_upper
Acanthoclinus fuscus,0.00457,0.00178,0.01174,3.1,2.88,3.32
Aidablennius sphynx,0.00741,0.00332,0.01655,3,2.8,3.2
Akarotaxis nudiceps,0.00389,0.0018,0.00842,3.12,2.94,3.3
Ammotretis rostratus,0.01698,0.00754,0.03826,2.98,2.77,3.19
Anampses caeruleopunctatus,0.01,0.00477,0.02096,3.06,2.88,3.24
Artediellus atlanticus,0.00708,0.00296,0.01692,3.13,2.92,3.34
Brachaluteres jacksonianus,0.02188,0.01063,0.04504,2.91,2.73,3.09
Cheilinus oxycephalus,0.0166,0.00717,0.03842,2.95,2.76,3.14
Chelon ramada,0.00912,0.00694,0.01199,2.97,2.93,3.01
Cyclopteropsis mcalpini,0.0257,0.01014,0.06513,3.01,2.79,3.23
Cynoscion striatus,0.00851,0.00419,0.01729,3.08,2.92,3.24
Eleginus nawaga,0.00813,0.00434,0.01522,3.1,2.94,3.26
Enophrys bison,0.00912,0.00468,0.01779,3.09,2.92,3.26
Eubalichthys bucephalus,0.02188,0.01063,0.04504,2.91,2.73,3.09
Eumicrotremus spinosus,0.0257,0.01014,0.06513,3.01,2.79,3.23
Fundulus heteroclitus,0.01096,0.00514,0.0234,3.19,3,3.38
Fundulus xenicus,0.01995,0.00906,0.04395,3.01,2.83,3.19
Gobiosoma robustum,0.00617,0.00281,0.01352,3.08,2.89,3.27
Hippocampus reidi,0.00427,0.00162,0.01121,3,2.78,3.22
Hipposcarus longiceps,0.0123,0.0069,0.02192,3.03,2.88,3.18
Holapogon maximus,0.01122,0.00514,0.0245,3.04,2.87,3.21
Icelus bicornis,0.00708,0.00296,0.01692,3.13,2.92,3.34
Jaydia hungi,0.00832,0.00263,0.02629,3.14,2.89,3.39
Labropsis micronesica,0.00977,0.0046,0.02076,3.05,2.87,3.23
Larimus fasciatus,0.00871,0.00423,0.01793,3.08,2.91,3.25
Lepidonotothen nudifrons,0.00631,0.00297,0.01341,3.18,3,3.36
Leuresthes tenuis,0.00575,0.00258,0.01285,3.03,2.83,3.23
Liparis fabricii,0.01,0.0046,0.02173,3.06,2.87,3.25
Lutjanus carponotatus,0.01445,0.00696,0.03003,2.98,2.81,3.15
Lycodes eudipleurostictus,0.00224,0.00104,0.00482,3.25,3.07,3.43
Lycodes frigidus,0.00692,0.00227,0.02109,3.04,2.79,3.29
Lycodes pallidus,0.00224,0.00104,0.00482,3.25,3.07,3.43
Lycodes polaris,0.00224,0.00104,0.00482,3.25,3.07,3.43
Lycodes reticulatus,0.00224,0.00104,0.00482,3.25,3.07,3.43
Lycodes vahlii,0.00129,0.00055,0.003,3.1,2.89,3.31
Macropharyngodon meleagris,0.01,0.00477,0.02096,3.06,2.88,3.24
Melanostigma atlanticum,0.00363,0.00144,0.00916,3.15,2.92,3.38
Merluccius gayi,0.01148,0.00472,0.02793,3.07,2.86,3.28
Micrognathus crinitus,5e-04,0.00022,0.00113,3.1,2.91,3.29
Opisthonema medirastre,0.00955,0.00462,0.01975,3.04,2.87,3.21
Oxylebius pictus,0.01122,0.00514,0.0245,3.04,2.87,3.21
Pachycara brachycephalum,0.00692,0.00227,0.02109,3.04,2.79,3.29
Pagetopsis macropterus,0.00646,0.0029,0.01435,3.17,2.97,3.37
Paragobiodon echinocephalus,0.01995,0.00906,0.04395,3.01,2.83,3.19
Paragobiodon lacunicolus,0.01995,0.00906,0.04395,3.01,2.83,3.19
Paragobiodon xanthosoma,0.01995,0.00906,0.04395,3.01,2.83,3.19
Paraliparis bathybius,0.00427,0.00186,0.00979,3.19,2.98,3.4
Paroncheilus affinis,0.01096,0.005,0.02405,3.11,2.92,3.3
Patagonotothen longipes,0.00631,0.00297,0.01341,3.18,3,3.36
Patagonotothen sima,0.00631,0.00297,0.01341,3.18,3,3.36
Planiliza subviridis,0.01175,0.0093,0.01484,2.96,2.92,3
Pomacanthus zonipectus,0.0309,0.01335,0.07154,2.9,2.72,3.08
Scarus forsteni,0.01622,0.00802,0.03279,3.01,2.82,3.2
Sebastes atrovirens,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes auriculatus,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes crameri,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes dallii,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes entomelas,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes helvomaculatus,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes hopkinsi,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes jordani,0.00389,0.0018,0.00842,3.12,2.94,3.3
Sebastes rosaceus,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes rosenblatti,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastes saxicola,0.01023,0.00488,0.02145,3.07,2.9,3.24
Sebastolobus altivelis,0.00891,0.00383,0.02073,3.1,2.89,3.31
Seriphus politus,0.00537,0.00255,0.01131,3.09,2.9,3.28
Siphamia tubifer,0.01549,0.00709,0.03381,3.07,2.89,3.25
Strangomera bentincki,0.00603,0.00347,0.01045,3.1,2.94,3.26
Synchiropus sechellensis,0.00776,0.00343,0.01757,2.82,2.63,3.01
Syngnathus floridae,0.00038,0.00016,0.00088,3.13,2.95,3.31
Syngnathus louisianae,0.00038,0.00016,0.00088,3.13,2.95,3.31
Syngnathus scovelli,0.00038,0.00016,0.00088,3.13,2.95,3.31
Zanclorhynchus spinifer,0.01122,0.00514,0.0245,3.04,2.87,3.21
