species
Acanthoclinus fuscus
Fundulus xenicus
Aidablennius sphynx
Akarotaxis nudiceps
Ammotretis rostratus
Anampses caeruleopunctatus
Artediellus atlanticus
Brachaluteres jacksonianus
Cheilinus oxycephalus
Chelon ramada
Cyclopteropsis mcalpini
Cynoscion striatus
Eleginus nawaga
Enophrys bison
Eubalichthys bucephalus
Eumicrotremus spinosus
Fundulus heteroclitus
Gobiosoma robustum
Hippocampus reidi
Hipposcarus longiceps
Holapogon maximus
Icelus bicornis
Jaydia hungi
Labropsis micronesica
Larimus fasciatus
Lepidonotothen nudifrons
Leuresthes tenuis
Liparis fabricii
Planiliza subviridis
Lutjanus carponotatus
Lycodes eudipleurostictus
Lycodes frigidus
Lycodes pallidus
Lycodes polaris
Lycodes reticulatus
Lycodes vahlii
Macropharyngodon meleagris
Melanostigma atlanticum
Merluccius gayi
Micrognathus crinitus
Opisthonema medirastre
Oxylebius pictus
Pachycara brachycephalum
Pagetopsis macropterus
Paragobiodon echinocephalus
Paragobiodon lacunicolus
Paragobiodon xanthosoma
Paraliparis bathybius
Paroncheilus affinis
Patagonotothen longipes
Patagonotothen sima
Pomacanthus zonipectus
Scarus forsteni
Sebastes atrovirens
Sebastes auriculatus
Sebastes crameri
Sebastes dallii
Sebastes entomelas
Sebastes helvomaculatus
Sebastes hopkinsi
Sebastes jordani
Sebastes rosaceus
Sebastes rosenblatti
Sebastes saxicola
Sebastolobus altivelis
Seriphus politus
Siphamia tubifer
Strangomera bentincki
Synchiropus sechellensis
Syngnathus floridae
Syngnathus louisianae
Syngnathus scovelli
Zanclorhynchus spinifer
