order,family,genus,species,spawningModeDetailed,spawningModeCode,source
Anguilliformes,Muraenesocidae,Muraenesox,Muraenesox cinereus,pelagic,P,NA
Atheriniformes,Atherinidae,Atherina,Atherina boyeri,demersal,D,http://www.fishbase.org/summary/Atherina-boyeri
Atheriniformes,Atherinidae,Atherina,Atherina presbyter,demersal,D,http://www.fishbase.org/summary/Atherina-presbyter
Atheriniformes,Atherinopsidae,Atherinopsis,Atherinopsis californiensis,demersal,D,http://www.fishbase.org/summary/Atherinopsis-californiensis
Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis,demersal,D,http://www.fishbase.org/summary/Leuresthes-tenuis
Atheriniformes,Atherinopsidae,Membras,Membras gilberti,demersal,D,NA
Atheriniformes,Atherinopsidae,Membras,Membras martinica,pelagic,P,NA
Atheriniformes,Atherinopsidae,Menidia,Menidia menidia,demersal,D,http://www.fishbase.org/summary/Menidia-menidia
Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes argentinensis,demersal,D,NA
Aulopiformes,Synodontidae,Synodus,Synodus intermedius,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Batrachoidiformes,Batrachoididae,Porichthys,Porichthys notatus,demersal,D,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon pinnatibarbatus,pelagic,P,NA
Beloniformes,Exocoetidae,Hirundichthys,Hirundichthys affinis,demersal,D,NA
Beloniformes,Hemiramphidae,Hemiramphus,Hemiramphus brasiliensis,demersal,D,NA
Beloniformes,Hemiramphidae,Hyporhamphus,Hyporhamphus quoyi,pelagic,P,NA
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,P,http://www.fishbase.org/summary/Scomberesox-saurus
Beryciformes,Trachichthyidae,Hoplostethus,Hoplostethus atlanticus,pelagic,P,http://www.fishbase.org/summary/Hoplostethus-atlanticus
Clupeiformes,Clupeidae,Alosa,Alosa mediocris,demersal,D,http://www.fishbase.org/summary/Alosa-mediocris
Clupeiformes,Clupeidae,Amblygaster,Amblygaster sirm,pelagic,P,NA
Clupeiformes,Clupeidae,Brevoortia,Brevoortia patronus,pelagic,P,NA
Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,pelagic,P,http://www.fishbase.org/summary/Brevoortia-tyrannus
Clupeiformes,Clupeidae,Clupea,Clupea harengus,demersal,D,http://www.fishbase.org/summary/Clupea-harengus
Clupeiformes,Clupeidae,Clupea,Clupea pallasii,demersal,D,http://www.fishbase.org/summary/Clupea-pallasii
Clupeiformes,Clupeidae,Ethmalosa,Ethmalosa fimbriata,pelagic,P,http://www.fishbase.org/summary/Ethmalosa-fimbriata
Clupeiformes,Clupeidae,Hyperlophus,Hyperlophus vittatus,pelagic,P,http://www.fishbase.org/summary/Hyperlophus-vittatus
Clupeiformes,Clupeidae,Nematalosa,Nematalosa vlaminghi,pelagic,P,http://www.fishbase.org/summary/Nematalosa-vlaminghi
Clupeiformes,Clupeidae,Opisthonema,Opisthonema libertate,pelagic,P,http://www.fishbase.org/summary/Opisthonema-libertate
Clupeiformes,Clupeidae,Opisthonema,Opisthonema medirastre,pelagic,P,assumed to be the same across Opisthonema spp.
Clupeiformes,Clupeidae,Sardina,Sardina pilchardus,pelagic,P,http://www.fishbase.org/summary/Sardina-pilchardus
Clupeiformes,Clupeidae,Sardinops,Sardinops sagax,pelagic,P,http://www.fishbase.org/summary/Sardinops-sagax
Clupeiformes,Clupeidae,Spratelloides,Spratelloides gracilis,demersal,D,NA
Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,pelagic,P,http://www.fishbase.org/summary/Sprattus-sprattus
Clupeiformes,Clupeidae,Strangomera,Strangomera bentincki,pelagic,P,http://www.fishbase.org/summary/Strangomera-bentincki
Clupeiformes,Engraulidae,Anchoa,Anchoa mitchilli,pelagic,P,http://www.fishbase.org/summary/Anchoa-mitchilli
Clupeiformes,Engraulidae,Anchoviella,Anchoviella lepidentostole,pelagic,P,http://www.fishbase.org/summary/Anchoviella-lepidentostole
Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis mysticetus,pelagic,P,http://www.fishbase.org/summary/Cetengraulis-mysticetus
Clupeiformes,Engraulidae,Encrasicholina,Encrasicholina heteroloba,pelagic,P,http://www.fishbase.org/summary/Encrasicholina-heteroloba
Clupeiformes,Engraulidae,Encrasicholina,Encrasicholina purpurea,pelagic,P,http://www.fishbase.org/summary/Encrasicholina-purpurea
Clupeiformes,Engraulidae,Engraulis,Engraulis anchoita,pelagic,P,assumed to be the same as Engraulis encrasicolus
Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,pelagic,P,http://www.fishbase.org/summary/Engraulis-encrasicolus
Clupeiformes,Engraulidae,Engraulis,Engraulis japonicus,pelagic,P,http://www.fishbase.org/summary/Engraulis-japonicus
Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,pelagic,P,http://www.fishbase.org/summary/Engraulis-mordax
Clupeiformes,Engraulidae,Engraulis,Engraulis ringens,pelagic,P,http://www.fishbase.org/summary/Engraulis-ringens
Clupeiformes,Pristigasteridae,Ilisha,Ilisha africana,pelagic,P,NA
Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon variegatus,demersal,D,http://www.fishbase.org/summary/Cyprinodon-variegatus
Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,demersal,D,http://www.fishbase.org/summary/Fundulus-heteroclitus
Cyprinodontiformes,Fundulidae,Fundulus,Fundulus xenicus,demersal,D,http://www.fishbase.org/summary/Adinia-xenica
Cyprinodontiformes,Fundulidae,Lucania,Lucania goodei,demersal,D,assumed to be the same as Lucania parva
Cyprinodontiformes,Fundulidae,Lucania,Lucania parva,demersal,D,http://www.fishbase.org/summary/Lucania-parva
Gadiformes,Gadidae,Boreogadus,Boreogadus saida,pelagic,P,http://www.fishbase.org/summary/Boreogadus-saida
Gadiformes,Gadidae,Eleginus,Eleginus nawaga,demersal,D,http://www.fishbase.org/summary/Eleginus-nawaga
Gadiformes,Gadidae,Gadus,Gadus morhua,pelagic,P,http://www.fishbase.org/summary/Gadus-morhua
Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,pelagic,P,http://www.fishbase.org/summary/Melanogrammus-aeglefinus
Gadiformes,Gadidae,Merlangius,Merlangius merlangus,pelagic,P,http://www.fishbase.org/summary/Merlangius-merlangus
Gadiformes,Gadidae,Micromesistius,Micromesistius australis,pelagic,P,NA
Gadiformes,Gadidae,Pollachius,Pollachius pollachius,pelagic,P,http://www.fishbase.org/summary/Pollachius-pollachius
Gadiformes,Gadidae,Pollachius,Pollachius virens,pelagic,P,http://www.fishbase.org/summary/Pollachius-virens
Gadiformes,Gadidae,Trisopterus,Trisopterus esmarkii,pelagic,P,http://www.fishbase.org/summary/Trisopterus-esmarkii
Gadiformes,Gadidae,Trisopterus,Trisopterus minutus,pelagic,P,http://www.fishbase.org/summary/Trisopterus-minutus
Gadiformes,Lotidae,Ciliata,Ciliata mustela,pelagic,P,http://www.fishbase.org/summary/Ciliata-mustela
Gadiformes,Lotidae,Enchelyopus,Enchelyopus cimbrius,pelagic,P,http://www.fishbase.org/summary/Enchelyopus-cimbrius
Gadiformes,Lotidae,Molva,Molva molva,pelagic,P,http://www.fishbase.org/summary/Molva-molva
Gadiformes,Macrouridae,Coelorinchus,Coelorinchus australis,pelagic,P,NA
Gadiformes,Merlucciidae,Merluccius,Merluccius gayi,pelagic,P,NA
Gadiformes,Merlucciidae,Merluccius,Merluccius hubbsi,pelagic,P,NA
Gadiformes,Merlucciidae,Merluccius,Merluccius merluccius,pelagic,P,http://www.fishbase.org/summary/Merluccius-merluccius
Gadiformes,Phycidae,Urophycis,Urophycis chuss,pelagic,P,http://www.fishbase.org/summary/Urophycis-chuss
Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,demersal,D,http://www.fishbase.org/summary/Gasterosteus-aculeatus
Gobiesociformes,Gobiesocidae,Apletodon,Apletodon dentatus,demersal,D,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Gobiesociformes,Gobiesocidae,Diplecogaster,Diplecogaster bimaculata,demersal,D,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Gobiesociformes,Gobiesocidae,Lepadogaster,Lepadogaster lepadogaster,demersal,D,http://www.fishbase.org/summary/Lepadogaster-lepadogaster
Gobiesociformes,Gobiesocidae,Lepadogaster,Lepadogaster purpurea,demersal,D,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Mugiliformes,Mugilidae,Chelon,Chelon labrosus,pelagic,P,all Mugilidae are assumed to be pelagic
Mugiliformes,Mugilidae,Chelon,Chelon ramada,pelagic,P,all Mugilidae are assumed to be pelagic
Mugiliformes,Mugilidae,Mugil,Mugil cephalus,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Mugiliformes,Mugilidae,Mugil,Mugil curema,pelagic,P,assumed to be the same across Mugil spp.
Mugiliformes,Mugilidae,Mugil,Mugil hospes,pelagic,P,assumed to be the same across Mugil spp.
Mugiliformes,Mugilidae,Mugil,Mugil liza,pelagic,P,assumed to be the same across Mugil spp.
Mugiliformes,Mugilidae,Mugil,Mugil trichodon,pelagic,P,assumed to be the same across Mugil spp.
Mugiliformes,Mugilidae,Planiliza,Planiliza subviridis,pelagic,P,all Mugilidae are assumed to be pelagic
Osmeriformes,Argentinidae,Argentina,Argentina sphyraena,pelagic,P,http://www.fishbase.org/summary/Argentina-sphyraena
Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,demersal,D,http://www.fishbase.org/summary/Mallotus-villosus
Perciformes,Acanthuridae,Acanthurus,Acanthurus coeruleus,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Perciformes,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,pelagic,P,assumed to be the same as Acanthurus coeruleus
Perciformes,Acanthuridae,Acanthurus,Acanthurus tractus,pelagic,P,assumed to be the same as Acanthurus coeruleus
Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus,pelagic,P,assumed to be the same as Acanthurus coeruleus
Perciformes,Acanthuridae,Zebrasoma,Zebrasoma scopas,pelagic,P,DR Robertson personal communication
Perciformes,Acropomatidae,Synagrops,Synagrops trispinosus,pelagic,P,NA
Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus,demersal,D,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,demersal,D,assumed to be the same as Ammodytes hexapterus
Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,demersal,D,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
