lengthSl_mm,clutchDryWeight_g,population
41.9931, 0.0703,HL
48.0635, 0.0848,HL
43.0592, 0.0703,HL
48.0998, 0.0882,HL
46.4579, 0.0735,HL
43.0282, 0.0735,HL
50.9478, 0.0899,HL
54.4913, 0.1254,HL
48.0322, 0.104,HL
48.9999, 0.1143,HL
43.9847, 0.0528,HL
51.1048, 0.1226,HL
48.9965, 0.0964,HL
48.0324, 0.1054,HL
48.5642, 0.0934,HL
37.363, 0.0326,LL
38.0048, 0.0389,LL
39.4632, 0.0439,LL
39.4071, 0.0497,LL
42.3932, 0.0547,LL
43.3411, 0.0536,LL
43.5004, 0.0514,LL
43.4679, 0.0502,LL
43.4354, 0.0489,LL
46.5204, 0.0537,LL
45.9075, 0.055,LL
46.9005, 0.0574,LL
48.4152, 0.0692,LL
49.5345, 0.0685,LL
49.8638, 0.0667,LL
40.9478, 0.0506,ML
49.866, 0.0747,ML
42.4847, 0.0479,ML
48.5242, 0.0757,ML
44.4476, 0.0752,ML
45.9766, 0.0592,ML
51.4704, 0.0674,ML
57.5402, 0.0929,ML
49.9064, 0.0888,ML
51.5138, 0.0869,ML
46.4548, 0.0627,ML
53.9653, 0.0952,ML
48.4899, 0.0815,ML
50.4252, 0.0928,ML
49.8687, 0.0849,ML
