otlSpecies,pngPic,deltaX
Muraenesox_cinereus_ott479856,Muraenesox,0.2
Odontesthes_argentinensis_ott93287,Odontesthes,0.2
Amblygaster_sirm_ott328216,Amblygaster,0.2
Ethmalosa_fimbriata_ott658559,Ethmalosa,0.2
Spratelloides_gracilis_ott39732,Spratelloides,0.2
Engraulis_mordax_ott29754,Engraulis,0.2
Lucania_goodei_ott84261,Lucania,0.2
Melanogrammus_aeglefinus_ott635904,Gadus,0.2
Trisopterus_esmarkii_ott926146,Gadidae,0.2
Mugil_liza_ott779933,Mugil,0.2
Acanthurus_nigrofuscus_ott605289,Acanthurus,0.2
Holapogon_maximus_ott3635086,Apogon,0.2
Paroncheilus_affinis_ott974576,Cheilodipterus,0.2
Ophioblennius_atlanticus_ott282319,Ophioblennius,0.2
Trachurus_mediterraneus_ott174577,Carangidae,0.2
Acanthemblemaria_rivasi_ott57343,Acanthemblemaria,0.2
Coryphopterus_dicrus_ott37549,Elacatinus,0.2
Oligolepis_acutipennis_ott767535,Paragobiodon,0.2
Haemulon_flavolineatum_ott432196,Haemulidae,0.2
Bodianus_diplotaenia_ott919235,Bodianus,0.2
Clepticus_parrae_ott948303,Clepticus,0.2
Gomphosus_varius_ott358606,Gomphosus,0.2
Halichoeres_dispilus_ott762170,Halichoeres,0.2
Halichoeres_notospilus_ott694414,Halichoeres,0.2
Hemigymnus_melapterus_ott302368,Hemigymnus,0.2
Macropharyngodon_meleagris_ott552117,Cheilinus,0.2
Symphodus_mediterraneus_ott730049,Symphodus,0.2
Thalassoma_hardwicke_ott102998,Thalassoma,0.2
Lutjanus_campechanus_ott642863,Lutjanus,0.2
Caulolatilus_microps_ott39883,Malacanthidae,0.2
Patagonotothen_longipes_ott430554,Patagonotothen,0.2
Abudefduf_bengalensis_ott318931,Abudefduf,0.18
Hypsypops_rubicundus_ott847666,Hypsypops,0.2
Stegastes_leucostictus_ott100830,Stegastes,0.2
Chlorurus_sordidus_ott436737,Chlorurus,0.2
Scarus_schlegeli_ott514881,Scarus,0.2
Sparisoma_rubripinne_ott686642,Sparisoma,0.2
Isopisthus_parvipinnis_ott133138,Sciaenidae,0.2
Micropogonias_furnieri_ott742890,Stellifer,0.2
Auxis_rochei_ott713972,Scombridae,0.2
Scomberomorus_cavalla_ott70546,Scomberomorus,0.2
Thunnus_thynnus_ott358607,Thunnus,0.2
Epinephelus_tauvina_ott218649,Epinephelus,0.2
Siganus_canaliculatus_ott199059,Siganidae,0.2
Aphanopus_carbo_ott113465,Trichiuridae,0.2
Lycodes_frigidus_ott539690,Zoarcidae,0.2
Melanostigma_atlanticum_ott3633033,Zoarcidae,0.2
Ammotretis_rostratus_ott600529,Pleuronectiformes,0.2
Reinhardtius_hippoglossoides_ott835141,Pleuronectiformes,0.2
Zanclorhynchus_spinifer_ott255677,Zanclorhynchus,0.2
Icelus_bicornis_ott3632116,Enophrys,0.2
Blepsias_cirrhosus_ott446859,Blepsias,0.2
Liparis_fabricii_ott496423,Careproctus,0.2
Sebastes_levis_ott9598,Sebastes,0.2
Syngnathus_louisianae_ott774414,Syngnathidae,0.05
Brachaluteres_jacksonianus_ott333693,Monacanthidae,0.2
Canthigaster_rostrata_ott484093,Canthigaster,0.2
